Model Architecture,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Proposed Spatio-Sequential Support Vector Machine,0.795,0.8666666666666667,0.25,0.3880597014925373,0.7538981288981289
Proposed Spatio-Sequential Random Forest,0.77,0.6666666666666666,0.23076923076923078,0.34285714285714286,0.7142671517671518
Proposed Spatio-Sequential Gradient Boosting,0.715,0.41379310344827586,0.23076923076923078,0.2962962962962963,0.6344204781704782
Baseline Single-Flight Logistic Regression,0.74,0.5,0.019230769230769232,0.037037037037037035,0.5032484407484408
